Name,Alternate Names,Population,Timezone,Geo_lat,Geo_long,km_to_moscow
Achit,"Achit,Achitskoye,Achyt,Acit,Aczit,Atschit,Açit,a qi te,achyt  rwsyh,atshyt,Ачит,Ачыт,Әчет,Աչիտ,آچیت، روسیه,أتشيت,阿奇特",5036,5.0,56.7985,57.8994,1252.98
Achkhoy-Martan,"Achkhoi-Martan,Achkhoj-Martan,Achkhoy-Martan,Achoj-Martan,Atsjkhoj-Martan,Ačhoj-Martan,Iashkhojn-Marta,Novosel'skoe,Novosel'skoye,Novosel’skoe,Novosel’skoye,TIekh'a-Marta,Thexa-Marta,Theẋa-Marta,Wasxoyn-Marta,Waşxoyn-Marta,Іашхойн-Марта,Ачхой-Мартан,Новосельское,ТІехьа-Марта",16779,3.0,43.19219,45.28345,1500.31
Adamovka,"Adamovka,Адамовка",7994,5.0,51.5223,59.9396,1537.23
Adil’-Yangiyurt,"Adil'-Jangi-Jurt,Adil'-Jangijurt,Adil'-Yangiyurt,Adil’-Yangiyurt,Адиль-Янги-Юрт,Адиль-Янгиюрт",4017,3.0,43.56328,46.58462,1498.39
Adler,"Adler,Adlerskij rajon,Adlersky City District,Adlersky rajon,Adlerský rajón,District Adlerski,Distrito de Adler,Distrito de Ádler,a de lie er,Адлер,Адлерский район,阿德列爾",70200,3.0,43.42896,39.92391,1380.15
Admiralteisky,"Admiraltejskij,Адмиралтейский",157897,3.0,59.923,30.3,633.79
Adyge-Khabl,"Adige-Habl,Adige-Khabl',Adige-Xabl,Adigue-Khabl,Adigué-Khabl,Adyge-Chabl,Adyge-Khabl,Adyge-Khabl',Adyge-Khabl’,Adygeh-Khabl',Adygie-Chabl,Adıge-Habl,Adıge-Xabl,adyj-kabl  qratshay - tshyrkysya,Адиге-Хабль,Адыге-Хабль,Адыгэ-Хабль,Ադիգե-Խաբլ,أديج-كابل، قراتشاي - تشيركيسيا",3666,3.0,44.33434,41.93922,1305.97
Adygeysk,"Adigejsk,Adigeysk,Adygeisk,Adygeiskas,Adygejsk,Adygeysk,Teuchezhsk,adigeiseukeu,adigejsk,adygejsk,Адигејск,Адыгейск,아디게이스크,Адыгейск",12689,3.0,44.878414,39.190289,1214.19
Afanas’yeva,"Afanas'eva,Afanas'evo,Afanas'yeva,Afanas'yevo,Afanas’yeva,Afanas’yevo,Afonas'yevo,Afonas’yevo,Афанасьева,Афанасьево",1100,8.0,54.63958,100.61755,3860.37
Afanas’yevo,"Afanas'evo,Afanas'yevo,Afanas'yevskaya,Afanas'yevskoye,Afanas’yevo,Afanas’yevskaya,Afanas’yevskoye,Афанасьево",0,3.0,58.86548,53.25804,998.36
Afipskiy,"Afipskij,Afipskiy,Georgiafipskaya,Georgiye-Afipskaya,Афипский",18209,3.0,44.90005,38.84265,1209.8
Afonino,"Afonino,Афонино",3182,3.0,56.26201,44.09503,406.63
Afrikanda,"Africanda,Afrikanda,Haapalahti,Pasjolak Afrykanda,Poselok Afrikanda,Posëlok Afrikanda,afrykanda,afrykanda  mwrmansk,Африканда,Пасёлак Афрыканда,Աֆրիկանդա,آفریکاندا,أفريكاندا، مورمانسك",1800,3.0,67.44289,32.78279,1323.86
Agalatovo,"Agalatova,Agalatovo,Agalatowo,Agałatowo,Ohalatva,a jia la tuo wo,aghalatwfw,aqalatwww,Агалатово,Ագալատովո,آقالاتووو,أغالاتوفو,阿加拉托沃",5028,3.0,60.2195,30.27388,658.05
Agapovka,"Agapovka,Agapovo,Agapovskiy,Агаповка",6362,5.0,53.2973,59.1348,1409.21
Ageyevo,"Ageevo,Ageyevo,Агеево",5934,3.0,54.15883,36.46927,191.69
Agidel,Агидель,16365,5.0,55.8999056,53.9220144,1016.26
Agidel’,"Aghidhel,Agidel,Agidel',Agideli,Agidelis,Agidelj,Agidel’,Takmalachuk,agidel,Агидель,Агидељ,아기델",19217,5.0,55.9077,53.9355,1017.01
Aginskoye,"Aga,Aginskoe,Aginskoje,Aginskoye,Agińskoje,aginseukoye,Ага,Агинское,Агинскоје,아긴스코예",17496,9.0,51.1,114.53,4855.99
Agirish,"Agirish,Akrysh,Агириш",2886,5.0,61.92472,63.02306,1601.15
Agoy,"Agoj,Agoy,Aguy,Агой",1800,3.0,44.1466,39.0373,1294.42
Agronom,"Agronom,Агроном",3820,3.0,45.14021,39.19484,1185.21
Agryz,"AEgerce,Agriz,Agroz,Agrys,Agryz,Agryzas,Agrõz,a ge lei ci,ageuliseu,aghryz,agriza,agryz,aguruizu,Ägerce,Əgerce,Агриз,Агрыз,Әгерҗе,آگریز,أغريز,اگریز,ਆਗ੍ਰੀਜ਼,アグルィズ,阿格雷兹,아그리스,Агрыз",19299,3.0,56.5232864,52.9943775,954.66
Agvali,"Ageali,Agvali,Agvaly,Агвали",2158,3.0,42.53798,46.12519,1591.6
Ak-Dovurak,"Ak Dovurakas,Ak-Davurak,Ak-Dovoerak,Ak-Dovourak,Ak-Dovurak,Ak-Dowurak,Ak-Tovurak,a ke duo wu la ke,agdobulag,ak dwwwrak,ak-dwwwrak,aka-dovuraka,akl-dwfwrak,Ак-Давурак,Ак-Довурак,آک-دوووراک,أكل-دوفوراك,اک دوووراک,ਅਕ-ਡੋਵੂਰਾਕ,阿克多武拉克,악도부락,Ак-Довурак",13469,7.0,51.178452,90.5985129,3456.28
Akademgorodok,"Akademgorodok,Akademicheskiy Gorodok,Gorod Nauki,Novosibirskij Akademgorodok,Novosibirskiy Nauchnyy Tsentr,Science City,akademgolodokeu,akademugorodoku,akadymjwrwdwk,Академгородок,Новосибирский Академгородок,أكاديمجورودوك,アカデムゴロドク,아카뎀고로도크",50000,7.0,54.8523,83.106,2829.1
Akademicheskoe,"Akademicheskoe,Академическое",103304,3.0,60.01375,30.39471,637.08
Akhtanizovskaya,"Achtanisowskaja,Akhtanizovskaja,Akhtanizovskaya,Ахтанизовская",3342,3.0,45.32128,37.10071,1160.43
Akhtubinsk,"Achtubinsk,Achtubińsk,Ahtubinsk,Akhtubinsk,Aĥtubinsk,Ахтубинск,Ахтубинск",44551,4.0,48.28339,46.16519,1014.28
Akhty,"Achty,Ahto,Ahtõ,Akhceg',Akhta,Akhtay,Akhti,Akhty,Axti,Sjalo Akhty,a gan ti,akhty,Ахта,Ахти,Ахты,Ахцегь,Сяло Ахты,Ախտի,أختي,阿幹提",14080,3.0,41.45949,47.73247,1750.52
Akhtyrskiy,"Akhtyrskij,Akhtyrskiy,Ахтырский",19468,3.0,44.8546,38.3031,1212.73
Akhunovo,"Akhunova,Akhunovo,Ахуново",3800,5.0,54.2079,59.6017,1407.37
Aknada,"Aknada,Aknoda,Ankoda,Акнада",4070,3.0,42.40155,46.17228,1607.19
Aksakovo,"Aksakovo,Аксаково",3179,5.0,54.03333,54.15,1071.8
Aksarayskiy,"Aksarajskij,Aksarayskiy,Аксарайский",3323,4.0,46.79244,48.01188,1228.3
Aksarka,"Aksarka,Oksarka,aksarka  jamalw-nynyts,aksarka  rwsyh,Аксарка,آکسارکا، روسیه,أكساركا، جامالو-نينيتس",2576,5.0,66.56056,67.7975,1983.79
Aksay,"Aksaj,Aksay,Aksayskaya,Аксай,Аксай",41984,3.0,47.2676314,39.8756872,956.19
Aksha,"Aksha,Aksja,Акша",3950,9.0,50.28139,113.28667,4842.06
Aktanysh,"Aktanysh,Aktanysj,Актаныш",8163,3.0,55.72156,54.08293,1028.47
Aktash,"Aktash,Акташ",3374,7.0,50.313,87.602,3321.02
Aktyubinskiy,"Ak-Tubya,Aktjubinskij,Aktyubinskiy,Актюбинский",9964,3.0,54.81372,52.80559,965.63
Akusha,"Agusha,Akusha,Akusja,Агуша,Акуша",4810,3.0,42.27505,47.34496,1654.39
Ak”yar,"Akjar,Akujar,Ak”yar,Khaibulina,Khaybulino,Khaybullino,Акъяр",5549,5.0,51.85905,58.22136,1414.44
Alabushevo,"Alabushevo,Alabusjevo,Алабушево",2733,3.0,56.01667,37.15,41.32
Alagir,"Alagir,Alagiras,Alaguir,Ałagir,a la ji er,alaghyr,alagir,alagira,alagyr,allagileu,Алагир,Алагир балһсн,Алагір,Ալագիր,آلاگیر,ألاغير,الاگیر,ਅਲਾਗਿਰ,阿拉吉尔,알라기르,Алагир",20949,3.0,43.0417684,44.2199715,1490.31
Alakurtti,"Alakurti-Tuntsa,Alakurtti,Allakurtti,Алакуртти",6293,3.0,66.9672,30.34905,1303.71
Alandskoye,"Alandskaja,Alandskiy,Alandskoe,Alandskoje,Alandskoye,Posten № 14,Аландская,Аландское",1418,5.0,52.22611,59.79389,1494.79
Alapayevsk,"Alapaevs'k,Alapaevsk,Alapajevsk,Alapajewsk,Alapayevsk,Alpaevsk,Ałapajewsk,Алапаевск,Алапаєвськ,Алапајевск,Алапаевск",44000,5.0,57.85158,61.69627,1476.44
Alatyr,Алатырь,38202,3.0,54.8397989,46.5721997,575.6
Alatyr’,"Alatyr,Alatyr',Alatyr’,Ulatar,Алатырь,Улатăр",42156,3.0,54.8421,46.5813,576.1
Aldan,"ADH,Aldan,Aldanas,Ałdan,Nezametnyy,aldan,Алдан,알단,Алдан",24426,9.0,58.61021,125.39613,4914.15
Aleksandriya,"Aleksandria,Aleksandrija,Aleksandriya,Александрия",4223,3.0,45.09472,43.24556,1249.36
Aleksandriyskaya,"Aleksandrijskaja,Aleksandriyskaya,Александрийская",10279,3.0,44.22722,43.34528,1344.25
Aleksandro-Nevskiy,"Aleksandro-Nevskaya,Aleksandro-Nevskij,Aleksandro-Nevskiy,Aleksandro-Nevskoye,Александро-Невский",4030,3.0,53.47548,40.2099,303.26
Aleksandrov,"Aleksandrov,Aleksandrova,Aleksandrovas,Aleksandrovo,Aleksandrow,Aleksàndrov,Aleksándrov,Alexandrov,Alexandrow,Aljaksandrau,alaigazaindarova,alksandrwf,allegsandeulopeu,alygzndrwf  wladymyr awblast,alyksandrwf,arekusandorofu,ya li shan de luo fu,Александров,Аляксандраў,أليكساندروف,الکساندروف,الیکساندروف,الیگزندروف، ولادیمیر اوبلاست,ਅਲੈਗਜ਼ੈਂਡਰੋਵ,アレクサンドロフ,亞歷山德羅夫,알렉산드로프",64088,3.0,56.39516,38.71452,98.8
Aleksandrov Gay,"Aleksandrov Gaj,Aleksandrov Gay,Александров Гай",9919,4.0,50.14704,48.57037,960.93
Aleksandrovka,"Aleksandrovka,Aleksandrovskaja,Aleksandrovskaya,Nal'chik,Nal’chik,Александровка,Александровская,Нальчик",4014,3.0,43.49368,43.64776,1429.33
Aleksandrovsk,"Aleksandrovsk,Aleksandrovsk i Russland,Aleksandrovskas,Aleksandrovskiy,Aleksandrowsk,Alekszandrovszk,Alexandrovsk,Alexandrowsk,Aljaksandrausk,Lytva,ailaigazaindrovasaka,alksandrwfsk  prm,allegsandeulobseukeu,alygzndrwwsk  pyrm krayy,alyksandrwfysk,ya li shan de luo fu si ke,Александровск,Аляксандраўск,Лытва,أليكساندروفيسك,الکساندروفسک، پرم,الیگزندرووسک، پیرم کرائی,ਐਲੈਗਜ਼ੈਂਡ੍ਰੋਵਸਕ,亞歷山德羅夫斯克,알렉산드롭스크",15486,5.0,59.1581,57.5695,1246.76
Aleksandrovsk-Sakhalinskiy,"Aleksandrovsk,Aleksandrovsk-Sakhalinskij,Aleksandrovsk-Sakhalinskiy,Aleksandrovski,Alexandrovsk,UHS,Александровск-Сахалинский",12024,11.0,50.89926,142.16215,6279.47
Aleksandrovskaya,"Aleksandrovskaja,Aleksandrovskaya,Aleksandrovskiy,Александровская",4000,3.0,60.05168,29.97935,656.58
Aleksandrovskiy Zavod,"Aleksandrovski Zavod,Aleksandrovskij Zavod,Aleksandrovskiy Zavod,Alexsandrovskiy Zavod,Александровский Завод",2516,9.0,50.92525,117.93773,5055.41
Aleksandrovskoye,"Aleksandrovskoe,Aleksandrovskoje,Aleksandrovskoye,Alexandrowskoje,Alyeksandrovskoe,Александровское",28006,3.0,44.71417,43.00083,1284.79
Alekseyevka,"Alekseevka,Aleksejevka,Alekseyevo,Алексеевка",78000,3.0,55.63,37.8,17.84
Alekseyevskaya,"Alekseevskaja,Alekseevskaya,Alekseyevskaya,Алексеевская",4205,3.0,50.2907,42.1846,679.5
Alekseyevskoye,"Alekseevskoe,Alekseyevskoye,Алексеевское",9738,3.0,55.30706,50.11353,787.03
Aleksin,"Aleksin,Aleksinas,Aleksine,Alexin,a lie ke xin,alekasina,alksyn,allegsin,alyksn,alyksyn,arekushin,Алексин,Алексін,آلکسین,أليكسين,الیکسن,ਅਲੇਕਸਿਨ,アレクシン,阿列克辛,알렉신,Алексин",66885,3.0,54.50484,37.06697,143.02
Alexandrov,Александров,61544,3.0,56.391819,38.7111123,98.39
Alexandrovsk,Александровск,15022,5.0,59.1613221,57.5763459,1247.2
Alexandrovsk-Sakhalinsky,Александровск-Сахалинский,10613,11.0,50.8974378,142.1578559,6279.43
Alexeyevka,"Alekseevka,Aleksejevka,Alekseyevka,Alexejewka,Alexeyevka,Алексе́евка,Алексеевка,Алексеевка",39848,3.0,50.63092,38.6903,573.93
Aleysk,"Aleisk,Aleiskas,Alejs'k,Alejsk,Aleysk,Aleyskaya,Aleyskoye,Aleïsk,a lie yi si ke,alesaka,alleiseukeu,alysk,Алейск,Алейськ,Алејск,Ալեյսկ,آلیسک,أليسك,الیسک,ਅਲੇਸਕ,阿列伊斯克,알레이스크,Алейск",28528,7.0,52.4922513,82.7793606,2912.32
Algatuy,"Algatuj,Algatuy,Алгатуй",1300,8.0,54.4009,100.255,3852.4
Ali-Berdukovskiy,"Ali-Berdukovskij,Ali-Berdukovskiy,Aliberdukovskaya,Али-Бердуковский",5093,3.0,43.98952,41.74212,1340.36
Ali-Yurt,"Ali-Jurt,Ali-Yurt,Naron,Али-Юрт",7593,3.0,43.1425,44.8525,1494.61
Alikovo,"Alikovo,Ehlek,alykwfw,Аликово,Аліково,Элĕк,Әлек,Ալիկովո,أليكوفو",2886,3.0,55.73827,46.75493,571.61
Alkhan-Churt,"Alhan-Curt,Alhan-Čurt,Alkhan-Churt,Alkhan-Churtskij,Alkhan-Tsjurt,Alxan-Curtskii,Alxan-Çurtskii,Алхан-Чурт,Алхан-Чуртский",7666,3.0,43.35194,44.78694,1470.81
Alkhan-Kala,"Alhan-Kala,Alkhan-Kala,Ialkhan-GIala,Mezdugor'e,Mezhdugor'e,Mezhdugor'ye,Mezhdugor’ye,Meždugor’e,Walxan-Gala,Walxan-Ġala,Іалхан-ГІала,Алхан-Кала,Междугорье",10168,3.0,43.25861,45.53917,1500.11
Alkhan-Yurt,"Ajvazovskoe,Alchantschurt,Alhan-Jurt,Alkhan-Jurt,Alkhan-Yurt,Ayvazovo,Ayvazovskoe,Ayvazovskoye,Ermolovskaja,Ermolovskaya,Ialkhan-Jurt,Walxan-Yurt,Іалхан-Юрт,Айвазовское,Алхан-Юрт,Ермоловская",8879,3.0,43.23179,45.57228,1503.82
Alkhazurovo,"Alhazurovo,Alkhazurovo,Khel'dikhiroj,Khel'dikhiroy,Khel’dikhiroy,Olkhazar-KIotar,Olkhazaran-KIotar,Olxazar-Khotar,Olxazaran-Khotar,Privol'noe,Privol'noye,Privol’noe,Privol’noye,Алхазурово,Олхазар-КІотар,Олхазаран-КІотар,Привольное,Хельдихирой",5452,3.0,43.0639,45.65134,1523.56
Alleroy,"Alleroj,Alleroy,Shuragat,Suragat,Şuragat,Аллерой,Шурагат",10247,3.0,43.21711,46.28209,1525.22
Almaznyy,"Almaznyj,Almaznyy,Алмазный",3080,3.0,48.04476,40.04501,872.95
Almetyevsk,Альметьевск,146309,3.0,54.9014619,52.2970467,931.76
Alnashi,"Alnashi,Alnasji,Алнаши",6205,4.0,56.18738,52.47919,924.4
Alpatovo,"Alpatov,Alpatovo,Naurskiy,Алпатово",5192,3.0,43.7028,45.24154,1445.55
Altayskoye,"Altaisk,Altaiskoe,Altajskij,Altajskoe,Altayskiy,Altayskoye,Алтайский,Алтайское",13852,7.0,51.95333,85.3325,3094.85
Altud,"Altud,Tambievo,Алтуд",5578,3.0,43.72194,43.86583,1409.7
Altuf’yevskiy,"Altuf'evskij,Altuf'yevskiy,Altuf’yevskiy,Vorob'yevskiy,Vorob’yëvskiy,Алтуфьевский",54000,3.0,55.88333,37.58333,14.72
Altukhovo,"Altukhova,Altukhovo,Алтухово",1908,3.0,52.67559,34.36703,401.96
Alzamay,"Alzamaj,Alzamay,Alzamayskoye,Алзамай,Алзамай",7058,8.0,55.5562,98.6644,3703.22
Al’met’yevsk,"Al'met'evsk,Al'met'yevo,Al'met'yevsk,Aljmetjevsk,Almetjevsk,Almetjewsk,Almetyevsk,Al’met’yevo,Al’met’yevsk,Əlmət,Альметьевск,Әлмәт",140437,3.0,54.90442,52.3154,932.84
Amazar,"Amazar,Амазар",2527,9.0,53.86033,120.87925,5009.34
Amga,"Amga,Amia,Amma,Sjalo Amga,amgha,Амга,Амма,Сяло Амга,Ամգա,أمغا",6151,9.0,60.90009,131.97882,5054.55
Amin’yevo,"Amin'evo,Amin'yevo,Aminjevo,Amin’yevo,Аминьево",30000,3.0,55.7,37.46667,10.98
Amursk,"Amoursk,Amurs'k,Amursk,Amurskas,Amursko,Padali,a mu er si ke,amuleuseukeu,amurasaka,amurusuku,amwrsk,Αμούρσκ,Амурск,Амурськ,آمورسک,أمورسك,ਅਮੁਰਸਕ,アムールスク,阿穆尔斯克,아무르스크,Амурск",46993,10.0,50.23685,136.88136,6085.52
Amurzet,"Amurzet,Амурзет",5213,10.0,47.69541,131.09493,6000.04
Amzya,"Amzja,Amzya,Амзя",4843,5.0,56.2346,54.385,1041.69
Anadyr,"Anadir,Anadira,Anadirj,Anado,Anador,Anadyr,Anadyr',Anadyris,Anadyrsk,Anadyr’,Anadîr,Anadõr,Anadır,Anantir,Anàdir,Anádyr,DYR,Novo-Mariinsk,Novo-Mariinskiy,Post Novo-Mariinskiy,Qagiirgiin,a na de er,anadili,anadira,anadiri,anadyr,ʼnʼdyr,Ανάντιρ,Анадир,Анадыр,Анадырь,אנאדיר,آنادیر,أنادير,ਅਨਾਦਿਰ,ᑲᒌᕐᒌᓐ,アナディリ,阿纳德尔,아나디리,Анадырь",15604,12.0,64.73424,177.5103,6191.33
Anapa,"AAQ,Anaapa,Anap,Anapa,Anape,a na pa,anaba,anapa,xa na pa,Ανάπα,Анаапа,Анапа,Анапа балһсн,Анапе,Անապա,آناپا,أنابا,اناپا,ਅਨਾਪਾ,อะนาปา,ანაპა,アナパ,阿纳帕,아나파,Анапа",58983,3.0,44.8950433,37.3163282,1207.45
Anapskaya,"Anapskaja,Anapskaya,Анапская",13965,3.0,44.89671,37.386,1207.19
Anastasiyevka,"Anastas'yevka,Anastasievka,Anastasijevka,Anastasiyevka,Anastassjewska,Anastas’yevka,Анастасиевка",1684,3.0,47.56072,38.52837,913.01
Anastasiyevskaya,"Anastasevskaya,Anastasievskaja,Anastasijevskaja,Anastasiyevka,Anastasiyevskaya,Anastassijewskaja,Анастасиевская",11204,3.0,45.21576,37.89258,1171.76
Andi,"Andi,Анди",5318,3.0,42.78359,46.26171,1569.75
Andra,"Andra,Karakarskiye,Андра",2013,5.0,62.51472,65.88778,1760.6
Andreapol,Андреаполь,8265,3.0,56.6506724,32.2620163,345.78
Andreapol’,"Andreapol',Andreapol’,Dubno,Андреаполь",9209,3.0,56.65087,32.264,345.67
Andreyevka,"Andreevka,Andrejevka,Andreyevka,Андреевка",8395,3.0,55.98028,37.135,39.27
Andreyevo,"Andreevo,Andreyevo,Andreyevskiy,Poselok Andreyevskiy,Posëlok Andreyevskiy,Андреево",5204,3.0,55.9465,41.1505,221.69
Andreyevskoye,"Andreevskoe,Andrejevskoje,Andreyevka,Andreyevskaya,Andreyevskoye,Андреевское",20000,3.0,55.55487,37.92566,29.33
Andzhiyevskiy,"Anciyevskiy,Andzhievski,Andzhievskij,Andzhiyevskiy,an ji ye fu si ji,andjyfsky,andzhyywayskay,Анджиевски,Анджиевский,آندژییوایسکای,أندجيفسكي,安吉耶夫斯基",6755,3.0,44.23889,43.08556,1337.56
Angarsk,"Angars'k,Angarsk,Angarska,Angarskas,Angarskiy,Angarszk,Anqarsk,agarasaka,an jia er si ke,angaleuseukeu,angarsk,angarusuku,angharsk,Ангарск,Ангарськ,آنگارسک,أنغارسك,انگارسک,ਅੰਗਾਰਸਕ,アンガルスク,安加尔斯克,안가르스크,Ангарск",243158,8.0,52.53667,103.88639,4164.43
Aniva,"Aniva,Aniwa,Rudaka,Rutaka,a ni wa,aniba,aniwa,anyfa,anywa,Анива,Аніва,آنیوا,أنيفا,انیوا,アニワ,阿尼瓦,아니바,Анива",8449,11.0,46.713152,142.5265804,6653.84
Anna,"Anna,Tulinovo,Анна",19148,3.0,51.48993,40.4192,508.63
Annino,"Annino,Аннино",30000,3.0,55.58316,37.26019,29.16
Anopino,"Anopenskiy,Anopino,Poselok Anopenskiy,Posëlok Anopenskiy,Анопино",1972,3.0,55.69809,40.66707,191.17
Ansalta,"Ansalta,Ансалта",5654,3.0,42.68941,46.11782,1575.55
Antipino,"Antipina,Antipino,Антипино",5147,5.0,57.10679,65.75755,1724.49
Antipovka,"Antipovka,Антиповка",3021,3.0,49.82994,45.31216,836.52
Anton’yevka,"Anton'evka,Anton'yevka,Anton'yevskoye,Antonjevskoje,Antonovskaya,Antonovskoye,Antonoyskaya,Anton’yevka,Anton’yevskoye,Антоньевка",1500,7.0,51.9961,83.974,3009.58
Antropovo,"Antropova,Antropovo,Антропово",3736,3.0,58.40016,43.00833,438.99
Anuchino,"Akuchino,Anuchino,Anutsjino,Анучино",4658,10.0,43.96571,133.05846,6407.78
Anzhero-Sudzhensk,"Anjero-Sudjensk,Anschero-Sudschensk,Anshero-Sudshensk,Anzero-Sudzensk,Anzherka,Anzhero-Sudzhenka,Anzhero-Sudzhensk,Anzhero-Sujensk,Anĵero-Sudĵensk,Anžero-Sudžensk,Sudzhenka,anjelosujenseukeu,Анжеро-Судженск,안제로수젠스크,Анжеро-Судженск",82526,7.0,56.081,86.0285,2954.42
Anzorey,"Anzorej,Anzorey,Anzorovo,Staryj Lesken,Staryy Lesken,Анзорей,Анзорово,Старый Лескен",0,3.0,43.35582,43.94143,1450.5
Apastovo,"Apas,Apastava,Apastovo,Apastowo,Apasztovo,Apàstovo,a pa si tuo wo,abastwfw,apastwww,Апас,Апастава,Апастово,آپاستووو,أباستوفو,阿帕斯托沃",4575,3.0,55.20293,48.51091,688.59
Apatity,"Apatiitti,Apatit,Apatitad,Apatitai,Apatiti,Apatito,Apatity,Apatitî,Apatitõ,Apatitı,Apatyty,KVK,a pa ji te,abatyty,apachitoui,apatiti,apatyty,Апатити,Апатиты,Апатыты,آپاتیتی,أباتيتي,اپاتیتی,アパチートゥイ,阿帕季特,아파티티,Апатиты",61186,3.0,67.58267,33.41339,1333.3
Aprelevka,"Aprehleuka,Aprelevka,Aprelewka,Aprielewka,Aprjelewka,Aprélevka,a pu lei lie fu ka,abrylyfka,apeulellebka,aprlfka,aprylfka,aprylywka,apurerefuka,Апрелевка,Апрелевка балһсн,Апрелєвка,Апрељевка,Апрэлеўка,آپرلفکا,أبريليفكا,اپریلفکا,اپریلیوکا,アプレレフカ,阿普雷列夫卡,아프렐렙카,Апрелевка",18467,3.0,55.5276918,37.065143,42.62
Apsheronsk,"Apcheronsk,Apscheranskaja,Apscheronsk,Apscheronskij,Apseronsk,Apseronskas,Apsharonsk,Apsheron,Apsherons'k,Apsheronsk,Apsheronskaya,Apsheronskiy,Apsjeronsk,Apszeronsk,Apszerońsk,Apxeronsk,Apŝeronsk,Apšeronsk,Apšeronskas,a pu xie lun si ke,abshrwnsk,abshyrwnsk,absyelonseukeu,apshyrwnsk,Апшаронск,Апшеронск,Апшеронск балһсн,Апшеронськ,آبشرونسک,أبشيرونسك,اپشیرونسک,阿普歇倫斯克,압셰론스크,Апшеронск",40451,3.0,44.46472,39.73417,1264.02
